no.of clues,average_time,average_backtracks,best_time,best_backtracks,worst_time,worst_backtracks
17,84705,17,38235,17,418079,24
18,39649,19,25582,18,80010,30
19,36123,20,27606,19,52534,25
20,36952,22,25424,20,69358,34
21,34478,23,18745,21,72791,35
22,21844,23,17870,22,27490,26
23,26409,26,17893,23,59169,42
24,22204,26,15495,24,37990,35
25,20274,27,14402,25,31936,42
26,25578,32,16150,26,50689,53
27,24948,34,15597,27,55547,67
28,26003,35,16883,28,56290,70
29,24847,40,11818,29,48039,67
30,23216,40,11837,30,87359,62
31,23752,46,12156,31,67381,116
32,26883,53,13294,32,158924,291
33,25158,48,12815,34,57671,84
34,25684,51,13435,34,78631,149
35,34817,67,15063,35,123070,216
36,32566,63,16783,38,83363,148
37,51029,122,12512,37,218755,575
38,42611,107,11537,40,207200,502
39,58626,146,15447,41,352084,888
40,56229,125,16375,44,187021,469
41,102579,215,26402,49,464681,1238
42,58561,144,18652,47,200649,503
43,90871,228,23196,57,266647,711
44,269459,709,17961,50,3263072,8833
45,141147,339,29685,75,482733,1253
46,144544,364,25574,69,633465,1752
47,242127,820,16479,61,1040916,5437
48,383163,1904,18920,65,2617038,14097
49,1047923,5162,15530,58,15700599,86618
50,553212,2839,20705,81,2907069,16152
51,963113,4376,21990,86,9606121,49307
52,2199869,7381,25818,94,18680436,54118
53,1654834,7829,29844,108,10866997,45977
54,1805813,5927,37013,137,7980624,21334
55,9230171,36832,24739,93,68482575,262461
56,17609599,77292,38957,103,217926401,1187716
57,4020128,11906,54802,135,27210269,70118
58,248777205,1253015,25767,97,6095521364,30747152
59,6708902,32378,46045,125,93360515,448760
60,35715693,180672,22713,86,535013189,2772283
61,61457739,310771,24654,91,1060306402,5446568
62,30485005,155753,21833,87,686566229,3515636
63,31447998,154691,34750,85,773147746,3807546
64,305099624,1444724,27047,86,6095439988,28696576
65,700756895,1294497,118245,98,17326004443,32268305
66,656465612,3455367,25068,100,14417669552,76101967
67,21481537,32228,104933,92,462396908,780519
68,5282783,26871,23719,88,103592561,533747
69,826834,4166,27321,101,7153587,37361
70,6205143,1427,286233,131,45523594,13206
71,703288,3186,27286,121,12040660,54925
72,1282114,6825,19857,88,29723678,159988
73,2468373,12365,23278,103,55281974,278278
74,27674638,149548,33328,96,658137794,3566094
75,89695,400,21870,100,451734,2076
76,510789,2577,28693,131,6590295,34160
77,106322258,557494,32467,150,2656154105,13929778
78,92909,403,26655,127,248333,1121
79,88282,398,33399,151,193654,894
80,2910095,363,500000,185,8503047,560
